,Prefix,Last,First,Suffix,FilingType,StateDst,Year,FilingDate,DocID
0,HONORABLE,ABERCROMBIE,NEIL,,O,HI01,2008,5/15/2008,8135597
1,HONORABLE,ACKERMAN,GARY L.,,O,NY05,2008,5/15/2008,8135598
2,HONORABLE,ADERHOLT,ROBERT B.,,A,AL04,2008,1/7/2009,8139590
3,HONORABLE,ADERHOLT,ROBERT B.,,O,AL04,2008,5/15/2008,8135599
4,HONORABLE,AKIN,W. TODD,,O,MO02,2008,5/15/2008,8135600
5,HONORABLE,ALEXANDER,RODNEY,,O,LA05,2008,5/14/2008,8135601
6,HONORABLE,ALLEN,THOMAS H.,,O,ME01,2008,5/15/2008,8135602
7,HONORABLE,ALTMIRE,JASON,,O,PA04,2008,5/14/2008,8135603
8,HONORABLE,ALTMIRE,JASON,,A,PA04,2008,3/26/2009,8139862
9,HONORABLE,ANDREWS,ROBERT E.,,O,NJ01,2008,5/15/2008,8135604
10,HONORABLE,ARCURI,MICHAEL A.,,O,NY24,2008,5/15/2008,8135605
11,HONORABLE,BACA,JOE,,A,CA43,2008,7/9/2008,8138827
12,HONORABLE,BACA,JOE,,O,CA43,2008,5/15/2008,8135606
13,HONORABLE,BACHMANN,MICHELE,,O,MN06,2008,6/16/2008,8203164
14,HONORABLE,BACHUS,SPENCER,,O,AL06,2008,5/15/2008,8138328
15,HONORABLE,BAIRD,BRIAN,,O,WA03,2008,5/15/2008,8135608
16,HONORABLE,BAIRD,BRIAN,,A,WA03,2008,7/30/2008,8138985
17,HONORABLE,BALDWIN,TAMMY,,O,WI02,2008,5/14/2008,8135609
18,,BARLETTA,LOU,,O,PA11,2008,3/24/2013,8135284
19,HONORABLE,BARRETT,J. GRESHAM,,O,SC03,2008,5/15/2008,8135610
20,HONORABLE,BARROW,JOHN,,O,GA12,2008,4/29/2008,8135611
21,HONORABLE,BARTLETT,ROSCOE G.,,A,MD06,2008,6/24/2008,8138784
22,HONORABLE,BARTLETT,ROSCOE G.,,A,MD06,2008,5/14/2009,8140036
23,HONORABLE,BARTLETT,ROSCOE G.,,A,MD06,2008,7/31/2008,8138977
24,HONORABLE,BARTLETT,ROSCOE G.,,O,MD06,2008,5/15/2008,8135612
25,HONORABLE,BARTON,JOE,,A,TX06,2008,7/24/2008,8138935
26,HONORABLE,BARTON,JOE,,O,TX06,2008,5/15/2008,8135613
27,HONORABLE,BEAN,MELISSA L.,,O,IL08,2008,5/15/2008,8135614
28,HONORABLE,BECERRA,XAVIER,,O,CA31,2008,6/30/2008,8138800
29,HONORABLE,BERKLEY,SHELLEY,,O,NV01,2008,5/9/2008,8135615
